1636930800000,2021-11-14 23:00:00,ETH/USDT,4573.71000000,4631.75000000,4542.82000000,4626.50000000,16111.90970000,74053826.99572000,36465
1636927200000,2021-11-14 22:00:00,ETH/USDT,4573.69000000,4596.66000000,4570.01000000,4573.72000000,6140.23570000,28140791.48758400,18389
1636923600000,2021-11-14 21:00:00,ETH/USDT,4552.75000000,4594.97000000,4540.50000000,4573.70000000,13849.44590000,63369502.39067700,27413
1636920000000,2021-11-14 20:00:00,ETH/USDT,4545.00000000,4560.81000000,4533.72000000,4552.76000000,5928.66940000,26958079.26062800,17612
1636916400000,2021-11-14 19:00:00,ETH/USDT,4548.38000000,4548.54000000,4518.48000000,4545.01000000,9271.71330000,42037918.42840400,23311
1636912800000,2021-11-14 18:00:00,ETH/USDT,4556.81000000,4571.19000000,4527.89000000,4548.38000000,9363.21120000,42587993.67133900,23244
1636909200000,2021-11-14 17:00:00,ETH/USDT,4537.25000000,4563.14000000,4514.12000000,4556.61000000,14628.39570000,66298549.03352600,36357
1636905600000,2021-11-14 16:00:00,ETH/USDT,4583.91000000,4590.11000000,4525.98000000,4537.24000000,34094.18700000,155261126.25254300,59438
1636902000000,2021-11-14 15:00:00,ETH/USDT,4593.63000000,4594.86000000,4574.97000000,4583.91000000,7169.71910000,32879789.08326300,19624
1636898400000,2021-11-14 14:00:00,ETH/USDT,4612.41000000,4612.42000000,4580.02000000,4593.63000000,10535.85840000,48403217.33597000,25546
1636894800000,2021-11-14 13:00:00,ETH/USDT,4619.28000000,4628.07000000,4611.75000000,4612.37000000,6293.41240000,29069935.74446100,23477
1636891200000,2021-11-14 12:00:00,ETH/USDT,4612.44000000,4634.64000000,4591.41000000,4619.28000000,7682.40840000,35440886.51879600,31092
1636887600000,2021-11-14 11:00:00,ETH/USDT,4606.11000000,4614.00000000,4594.47000000,4612.45000000,4913.57250000,22628642.66750500,15428
1636884000000,2021-11-14 10:00:00,ETH/USDT,4590.47000000,4615.74000000,4584.63000000,4606.10000000,7648.79680000,35217492.48134800,19366
1636880400000,2021-11-14 09:00:00,ETH/USDT,4584.10000000,4605.25000000,4567.02000000,4590.48000000,9156.76520000,41990033.61980600,22936
1636876800000,2021-11-14 08:00:00,ETH/USDT,4598.77000000,4608.56000000,4571.65000000,4584.09000000,13294.50470000,60993959.40960600,34271
1636873200000,2021-11-14 07:00:00,ETH/USDT,4638.71000000,4641.00000000,4593.84000000,4598.40000000,14867.39340000,68570502.77920000,32364
1636869600000,2021-11-14 06:00:00,ETH/USDT,4642.12000000,4656.30000000,4633.00000000,4638.71000000,8106.72000000,37639828.63710100,18992
1636866000000,2021-11-14 05:00:00,ETH/USDT,4633.43000000,4647.13000000,4622.78000000,4642.11000000,6300.24570000,29220788.29526300,16508
1636862400000,2021-11-14 04:00:00,ETH/USDT,4628.63000000,4648.47000000,4625.31000000,4633.40000000,4688.02070000,21739522.37677000,25333
1636858800000,2021-11-14 03:00:00,ETH/USDT,4635.64000000,4648.01000000,4621.81000000,4628.63000000,7271.00190000,33694502.64946000,23114
1636855200000,2021-11-14 02:00:00,ETH/USDT,4661.41000000,4667.81000000,4633.56000000,4635.65000000,6752.01640000,31395462.51928800,20932
1636851600000,2021-11-14 01:00:00,ETH/USDT,4675.47000000,4682.60000000,4650.00000000,4661.41000000,7442.80860000,34723858.27340800,21053
1636848000000,2021-11-14 00:00:00,ETH/USDT,4644.27000000,4696.05000000,4636.83000000,4675.47000000,13798.05530000,64470329.49411200,31226
1636844400000,2021-11-13 23:00:00,ETH/USDT,4639.62000000,4664.23000000,4632.79000000,4644.28000000,6464.76080000,30040392.54971700,15110
1636840800000,2021-11-13 22:00:00,ETH/USDT,4656.98000000,4660.83000000,4636.37000000,4639.63000000,6325.63950000,29414083.45930500,16914
1636837200000,2021-11-13 21:00:00,ETH/USDT,4660.78000000,4661.84000000,4642.00000000,4656.98000000,4573.99200000,21282802.39441700,14353
1636833600000,2021-11-13 20:00:00,ETH/USDT,4643.96000000,4665.39000000,4640.51000000,4660.78000000,5167.56050000,24028063.63848700,17462
1636830000000,2021-11-13 19:00:00,ETH/USDT,4653.17000000,4653.17000000,4620.00000000,4643.80000000,10564.91430000,48981438.93242000,24120
1636826400000,2021-11-13 18:00:00,ETH/USDT,4685.50000000,4688.63000000,4644.88000000,4653.17000000,11495.05360000,53625046.14835200,44572
1636822800000,2021-11-13 17:00:00,ETH/USDT,4674.26000000,4686.00000000,4660.86000000,4685.51000000,8005.64360000,37405924.64958100,43253
1636819200000,2021-11-13 16:00:00,ETH/USDT,4680.24000000,4701.97000000,4671.61000000,4674.27000000,15492.36030000,72570629.16310700,44616
1636815600000,2021-11-13 15:00:00,ETH/USDT,4672.85000000,4693.00000000,4665.00000000,4680.23000000,10494.29440000,49102004.85674200,26581
1636812000000,2021-11-13 14:00:00,ETH/USDT,4615.71000000,4698.00000000,4614.45000000,4672.84000000,31209.43590000,145562537.33564500,75556
1636808400000,2021-11-13 13:00:00,ETH/USDT,4603.60000000,4628.64000000,4600.00000000,4615.71000000,7811.06080000,36024443.92239700,36756
1636804800000,2021-11-13 12:00:00,ETH/USDT,4609.30000000,4631.07000000,4596.89000000,4603.60000000,7968.43510000,36746072.23652000,31720
1636801200000,2021-11-13 11:00:00,ETH/USDT,4614.90000000,4620.02000000,4598.06000000,4609.31000000,5879.50450000,27110903.69296400,19031
1636797600000,2021-11-13 10:00:00,ETH/USDT,4592.47000000,4619.01000000,4587.40000000,4614.89000000,6556.37180000,30196872.46188400,20492
